"Vendor","CodeName","Chip Class","Feature Size","Model #","Cores","frequency","cache","tdp","cost"
"Intel","Sapphire Rapids","Max",7,"9480",56,1.90,112.5,350,12980
"Intel","Sapphire Rapids","Max",7,"9470",52,2.00,105.0,350,11590
"Intel","Sapphire Rapids","Max",7,"9468",48,2.10,105.0,350,9900
"Intel","Sapphire Rapids","Max",7,"9462",32,2.70,75.0,350,8750
"Intel","Sapphire Rapids","Max",7,"9460",40,2.20,97.5,350,7995
"Intel","Sapphire Rapids","Platinum",7,"8490H",60,1.90,112.5,350,17000
"Intel","Sapphire Rapids","Platinum",7,"8480+",56,2.00,105.0,350,10710
"Intel","Sapphire Rapids","Platinum",7,"8470Q",52,2.10,105.0,350,9410
"Intel","Sapphire Rapids","Platinum",7,"8470N",52,1.70,97.5,300,9520
"Intel","Sapphire Rapids","Platinum",7,"8468V",48,2.40,97.5,330,7121
"Intel","Sapphire Rapids","Platinum",7,"8468H",48,2.10,105.0,330,13923
"Intel","Sapphire Rapids","Platinum",7,"8462Y+",32,2.80,60.0,300,5945
"Intel","Sapphire Rapids","Platinum",7,"8460Y+",40,2.00,105.0,300,5558
"Intel","Sapphire Rapids","Platinum",7,"8460H",40,2.20,105.0,330,10710
"Intel","Sapphire Rapids","Platinum",7,"8458P",44,2.70,82.5,350,7121
"Intel","Sapphire Rapids","Platinum",7,"8454H",32,2.10,82.5,270,6540
"Intel","Sapphire Rapids","Platinum",7,"8452Y",36,2.00,67.5,300,3995
"Intel","Sapphire Rapids","Platinum",7,"8450H",28,2.00,75.0,250,4708
"Intel","Sapphire Rapids","Platinum",7,"8444H",16,2.90,45.0,270,4234
"Intel","Sapphire Rapids","Gold",7,"6458Q",32,3.10,60.0,350,6416
"Intel","Sapphire Rapids","Gold",7,"6454S",32,2.20,60.0,270,3157
"Intel","Sapphire Rapids","Gold",7,"6448Y",32,2.10,60.0,225,3583
"Intel","Sapphire Rapids","Gold",7,"6448H",32,2.40,60.0,250,3658
"Intel","Sapphire Rapids","Gold",7,"6444Y",16,3.60,45.0,270,3622
"Intel","Sapphire Rapids","Gold",7,"6442Y",24,2.60,60.0,225,2878
"Intel","Sapphire Rapids","Gold",7,"6438Y+",32,2.00,60.0,205,3141
"Intel","Sapphire Rapids","Gold",7,"6438N",32,2.00,60.0,205,3351
"Intel","Sapphire Rapids","Gold",7,"6438M",32,2.20,60.0,205,3273
"Intel","Sapphire Rapids","Gold",7,"6434H",8,3.70,22.5,195,3070
"Intel","Sapphire Rapids","Gold",7,"6428N",32,1.80,60.0,185,3200
"Intel","Sapphire Rapids","Gold",7,"6426Y",16,2.50,37.5,185,1517
"Intel","Sapphire Rapids","Gold",7,"6418H",24,2.10,60.0,185,2065
"Intel","Sapphire Rapids","Gold",7,"6416H",18,2.20,45.0,165,1444
"Intel","Sapphire Rapids","Gold",7,"5420+",28,2.00,52.5,205,1848
"Intel","Sapphire Rapids","Gold",7,"5418Y",24,2.00,45.0,185,1483
"Intel","Sapphire Rapids","Gold",7,"5418N",24,1.80,45.0,165,1664
"Intel","Sapphire Rapids","Gold",7,"5416S",16,2.00,30.0,150,944
"Intel","Sapphire Rapids","Gold",7,"5415+",8,2.90,22.5,150,1066
"Intel","Sapphire Rapids","Silver",7,"4416+",20,2.00,37.5,165,1176
"Intel","Sapphire Rapids","Silver",7,"4410Y",12,2.00,30.0,150,563
"Intel","Sapphire Rapids","Silver",7,"4410T",10,2.70,26.3,150,624
"Intel","Sapphire Rapids","Platinum",7,"8470",52,2.00,105.0,350,9359
"Intel","Sapphire Rapids","Platinum",7,"8468",48,2.10,105.0,350,7214
"Intel","Sapphire Rapids","Gold",7,"6434",8,3.70,22.5,195,2607
"Intel","Sapphire Rapids","Gold",7,"6430",32,2.10,60.0,270,2128
